age,education,marital_status,occupation,race,sex,native_country
32,Assoc-voc,Divorced,Other-service,White,Female,?
46,Some-college,Divorced,Other-service,White,Female,?
66,Some-college,Divorced,Other-service,White,Female,?
50,7th-8th,Married-civ-spouse,Other-service,White,Female,?
43,Bachelors,Married-civ-spouse,Other-service,White,Female,?
33,Bachelors,Married-civ-spouse,Other-service,White,Female,?
50,HS-grad,Married-civ-spouse,Other-service,White,Female,?
32,HS-grad,Married-civ-spouse,Other-service,White,Female,?
34,Some-college,Married-civ-spouse,Other-service,White,Female,?
40,Bachelors,Married-spouse-absent,Other-service,White,Female,?
18,HS-grad,Never-married,Other-service,White,Female,?
22,HS-grad,Never-married,Other-service,White,Female,?
18,Some-college,Never-married,Other-service,White,Female,?
18,Some-college,Never-married,Other-service,White,Female,?
21,Some-college,Never-married,Other-service,White,Female,?
21,Some-college,Never-married,Other-service,White,Female,?
24,Some-college,Never-married,Other-service,White,Female,?
55,Bachelors,Separated,Other-service,White,Female,?
34,HS-grad,Separated,Other-service,White,Female,?
70,5th-6th,Widowed,Other-service,White,Female,?
55,7th-8th,Widowed,Other-service,White,Female,?
72,7th-8th,Widowed,Other-service,White,Female,?
57,HS-grad,Widowed,Other-service,White,Female,?
37,Some-college,Widowed,Other-service,White,Female,?
61,Bachelors,Divorced,Priv-house-serv,White,Female,?
24,Some-college,Married-civ-spouse,Priv-house-serv,White,Female,?
19,HS-grad,Never-married,Priv-house-serv,White,Female,?
42,HS-grad,Never-married,Priv-house-serv,White,Female,?
24,Masters,Never-married,Priv-house-serv,White,Female,?
36,Bachelors,Divorced,Prof-specialty,White,Female,?
44,Masters,Divorced,Prof-specialty,White,Female,?
35,Bachelors,Married-civ-spouse,Prof-specialty,White,Female,?
38,Doctorate,Married-civ-spouse,Prof-specialty,White,Female,?
20,HS-grad,Married-civ-spouse,Prof-specialty,White,Female,?
45,Some-college,Married-civ-spouse,Prof-specialty,White,Female,?
43,Doctorate,Married-spouse-absent,Prof-specialty,White,Female,?
40,Bachelors,Never-married,Prof-specialty,White,Female,?
27,Bachelors,Never-married,Prof-specialty,White,Female,?
58,Doctorate,Never-married,Prof-specialty,White,Female,?
59,Masters,Never-married,Prof-specialty,White,Female,?
31,Prof-school,Never-married,Prof-specialty,White,Female,?
27,Some-college,Never-married,Prof-specialty,White,Female,?
56,Bachelors,Separated,Prof-specialty,White,Female,?
62,Masters,Separated,Prof-specialty,White,Female,?
62,Masters,Separated,Prof-specialty,White,Female,?
65,HS-grad,Divorced,Sales,White,Female,?
36,10th,Never-married,Sales,White,Female,?
17,12th,Never-married,Sales,White,Female,?
28,Assoc-voc,Never-married,Sales,White,Female,?
26,Bachelors,Never-married,Sales,White,Female,?
21,HS-grad,Never-married,Sales,White,Female,?
22,HS-grad,Never-married,Sales,White,Female,?
26,Some-college,Never-married,Sales,White,Female,?
31,Some-college,Never-married,Sales,White,Female,?
45,Assoc-acdm,Divorced,Tech-support,White,Female,?
41,Bachelors,Divorced,Tech-support,White,Female,?
34,Bachelors,Married-civ-spouse,Tech-support,White,Female,?
35,Doctorate,Married-civ-spouse,Tech-support,White,Female,?
24,Bachelors,Never-married,Tech-support,White,Female,?
19,Some-college,Never-married,Tech-support,White,Female,?
21,Bachelors,Never-married,?,Asian-Pac-Islander,Male,?
47,Bachelors,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Male,?
26,HS-grad,Never-married,Adm-clerical,Asian-Pac-Islander,Male,?
22,Some-college,Never-married,Adm-clerical,Asian-Pac-Islander,Male,?
24,Some-college,Never-married,Adm-clerical,Asian-Pac-Islander,Male,?
40,Assoc-voc,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,?
41,Bachelors,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,?
52,Some-college,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,?
37,Some-college,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,?
35,HS-grad,Married-spouse-absent,Craft-repair,Asian-Pac-Islander,Male,?
36,Bachelors,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,?
35,Bachelors,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,?
35,Bachelors,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,?
54,HS-grad,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,?
38,Masters,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,?
47,Masters,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,?
45,Prof-school,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,?
46,Some-college,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,?
45,Some-college,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,?
33,Bachelors,Never-married,Exec-managerial,Asian-Pac-Islander,Male,?
42,HS-grad,Married-spouse-absent,Handlers-cleaners,Asian-Pac-Islander,Male,?
45,12th,Married-civ-spouse,Machine-op-inspct,Asian-Pac-Islander,Male,?
35,5th-6th,Married-civ-spouse,Machine-op-inspct,Asian-Pac-Islander,Male,?
54,Bachelors,Married-civ-spouse,Machine-op-inspct,Asian-Pac-Islander,Male,?
32,HS-grad,Married-civ-spouse,Machine-op-inspct,Asian-Pac-Islander,Male,?
39,HS-grad,Married-civ-spouse,Machine-op-inspct,Asian-Pac-Islander,Male,?
34,Bachelors,Married-spouse-absent,Machine-op-inspct,Asian-Pac-Islander,Male,?
27,Bachelors,Never-married,Machine-op-inspct,Asian-Pac-Islander,Male,?
37,5th-6th,Married-civ-spouse,Other-service,Asian-Pac-Islander,Male,?
45,Bachelors,Married-civ-spouse,Other-service,Asian-Pac-Islander,Male,?
24,Some-college,Married-civ-spouse,Other-service,Asian-Pac-Islander,Male,?
31,Some-college,Married-civ-spouse,Other-service,Asian-Pac-Islander,Male,?
26,HS-grad,Never-married,Other-service,Asian-Pac-Islander,Male,?
25,HS-grad,Never-married,Other-service,Asian-Pac-Islander,Male,?
32,Some-college,Never-married,Other-service,Asian-Pac-Islander,Male,?
36,Bachelors,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,?
34,Bachelors,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,?
43,Bachelors,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,?
37,Doctorate,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,?
55,Doctorate,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,?
38,Masters,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,?
43,Prof-school,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,?
40,Prof-school,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,?
51,Some-college,Married-civ-spouse,Protective-serv,Asian-Pac-Islander,Male,?
39,Bachelors,Married-civ-spouse,Sales,Asian-Pac-Islander,Male,?
44,Bachelors,Married-civ-spouse,Sales,Asian-Pac-Islander,Male,?
39,HS-grad,Married-civ-spouse,Sales,Asian-Pac-Islander,Male,?
35,Masters,Married-civ-spouse,Sales,Asian-Pac-Islander,Male,?
42,Masters,Married-civ-spouse,Sales,Asian-Pac-Islander,Male,?
31,Bachelors,Never-married,Sales,Asian-Pac-Islander,Male,?
35,Bachelors,Never-married,Sales,Asian-Pac-Islander,Male,?
39,Bachelors,Married-civ-spouse,Tech-support,Asian-Pac-Islander,Male,?
35,Bachelors,Never-married,Tech-support,Asian-Pac-Islander,Male,?
37,HS-grad,Married-civ-spouse,Transport-moving,Asian-Pac-Islander,Male,?
33,HS-grad,Married-civ-spouse,Transport-moving,Asian-Pac-Islander,Male,?
35,Some-college,Married-civ-spouse,Transport-moving,Asian-Pac-Islander,Male,?
23,10th,Never-married,Transport-moving,Asian-Pac-Islander,Male,?
36,12th,Never-married,Transport-moving,Asian-Pac-Islander,Male,?
26,Bachelors,Never-married,Transport-moving,Asian-Pac-Islander,Male,?
24,HS-grad,Never-married,Transport-moving,Asian-Pac-Islander,Male,?
37,HS-grad,Never-married,Transport-moving,Asian-Pac-Islander,Male,?
33,Bachelors,Never-married,?,Black,Male,?
25,Some-college,Never-married,?,Black,Male,?
29,Some-college,Never-married,?,Black,Male,?
21,12th,Never-married,Adm-clerical,Black,Male,?
28,HS-grad,Never-married,Adm-clerical,Black,Male,?
39,Bachelors,Divorced,Craft-repair,Black,Male,?
60,HS-grad,Divorced,Craft-repair,Black,Male,?
42,12th,Married-civ-spouse,Craft-repair,Black,Male,?
40,7th-8th,Married-civ-spouse,Craft-repair,Black,Male,?
44,HS-grad,Married-civ-spouse,Craft-repair,Black,Male,?
38,10th,Never-married,Craft-repair,Black,Male,?
29,10th,Never-married,Craft-repair,Black,Male,?
42,HS-grad,Never-married,Craft-repair,Black,Male,?
56,HS-grad,Divorced,Exec-managerial,Black,Male,?
42,Assoc-acdm,Married-civ-spouse,Exec-managerial,Black,Male,?
32,Bachelors,Married-civ-spouse,Exec-managerial,Black,Male,?
33,Bachelors,Married-civ-spouse,Exec-managerial,Black,Male,?
38,Masters,Married-civ-spouse,Exec-managerial,Black,Male,?
26,Bachelors,Never-married,Exec-managerial,Black,Male,?
29,Bachelors,Married-civ-spouse,Handlers-cleaners,Black,Male,?
63,HS-grad,Married-civ-spouse,Handlers-cleaners,Black,Male,?
44,HS-grad,Married-civ-spouse,Handlers-cleaners,Black,Male,?
23,HS-grad,Married-civ-spouse,Handlers-cleaners,Black,Male,?
31,12th,Never-married,Handlers-cleaners,Black,Male,?
22,Assoc-acdm,Never-married,Handlers-cleaners,Black,Male,?
41,Bachelors,Never-married,Handlers-cleaners,Black,Male,?
34,Some-college,Never-married,Handlers-cleaners,Black,Male,?
26,Some-college,Never-married,Handlers-cleaners,Black,Male,?
47,9th,Married-civ-spouse,Machine-op-inspct,Black,Male,?
34,HS-grad,Married-civ-spouse,Machine-op-inspct,Black,Male,?
31,HS-grad,Never-married,Machine-op-inspct,Black,Male,?
20,HS-grad,Never-married,Machine-op-inspct,Black,Male,?
38,Masters,Married-civ-spouse,Other-service,Black,Male,?
30,HS-grad,Never-married,Other-service,Black,Male,?
30,HS-grad,Never-married,Other-service,Black,Male,?
21,Some-college,Never-married,Other-service,Black,Male,?
18,Some-college,Never-married,Other-service,Black,Male,?
37,Some-college,Separated,Other-service,Black,Male,?
57,9th,Widowed,Other-service,Black,Male,?
39,Bachelors,Married-civ-spouse,Prof-specialty,Black,Male,?
49,Doctorate,Married-civ-spouse,Prof-specialty,Black,Male,?
67,Doctorate,Married-civ-spouse,Prof-specialty,Black,Male,?
50,Doctorate,Married-civ-spouse,Prof-specialty,Black,Male,?
35,Masters,Married-civ-spouse,Prof-specialty,Black,Male,?
33,Bachelors,Married-spouse-absent,Prof-specialty,Black,Male,?
30,Bachelors,Never-married,Prof-specialty,Black,Male,?
30,Bachelors,Never-married,Prof-specialty,Black,Male,?
30,Bachelors,Never-married,Prof-specialty,Black,Male,?
41,12th,Married-civ-spouse,Protective-serv,Black,Male,?
55,Some-college,Married-civ-spouse,Protective-serv,Black,Male,?
35,Some-college,Married-civ-spouse,Protective-serv,Black,Male,?
31,Some-college,Never-married,Protective-serv,Black,Male,?
28,Some-college,Married-civ-spouse,Sales,Black,Male,?
24,Assoc-acdm,Never-married,Sales,Black,Male,?
49,Assoc-voc,Never-married,Sales,Black,Male,?
34,Bachelors,Never-married,Sales,Black,Male,?
22,HS-grad,Never-married,Sales,Black,Male,?
31,HS-grad,Never-married,Sales,Black,Male,?
41,Bachelors,Divorced,Tech-support,Black,Male,?
25,Bachelors,Never-married,Tech-support,Black,Male,?
26,HS-grad,Never-married,Tech-support,Black,Male,?
36,Bachelors,Married-civ-spouse,Transport-moving,Black,Male,?
39,12th,Married-spouse-absent,Transport-moving,Black,Male,?
31,Some-college,Married-spouse-absent,Transport-moving,Black,Male,?
39,Doctorate,Divorced,Adm-clerical,Other,Male,?
30,Some-college,Never-married,Adm-clerical,Other,Male,?
53,HS-grad,Divorced,Craft-repair,Other,Male,?
47,7th-8th,Never-married,Craft-repair,Other,Male,?
51,Some-college,Married-civ-spouse,Handlers-cleaners,Other,Male,?
40,HS-grad,Married-civ-spouse,Other-service,Other,Male,?
29,Some-college,Never-married,Other-service,Other,Male,?
37,Bachelors,Married-civ-spouse,Prof-specialty,Other,Male,?
36,Bachelors,Married-civ-spouse,Sales,Other,Male,?
28,Some-college,Married-civ-spouse,Sales,Other,Male,?
40,Bachelors,Married-spouse-absent,Transport-moving,Other,Male,?
55,7th-8th,Married-civ-spouse,?,White,Male,?
64,HS-grad,Married-civ-spouse,?,White,Male,?
47,HS-grad,Married-civ-spouse,?,White,Male,?
32,HS-grad,Married-civ-spouse,?,White,Male,?
48,Some-college,Married-civ-spouse,?,White,Male,?
32,7th-8th,Married-spouse-absent,?,White,Male,?
27,Bachelors,Married-spouse-absent,?,White,Male,?
24,Some-college,Never-married,?,White,Male,?
44,Bachelors,Divorced,Adm-clerical,White,Male,?
48,Bachelors,Married-civ-spouse,Adm-clerical,White,Male,?
50,Bachelors,Married-civ-spouse,Adm-clerical,White,Male,?
28,Bachelors,Married-civ-spouse,Adm-clerical,White,Male,?
56,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,?
45,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,?
30,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,?
41,Prof-school,Married-civ-spouse,Adm-clerical,White,Male,?
39,Some-college,Married-civ-spouse,Adm-clerical,White,Male,?
19,12th,Never-married,Adm-clerical,White,Male,?
25,Assoc-voc,Never-married,Adm-clerical,White,Male,?
30,HS-grad,Never-married,Adm-clerical,White,Male,?
26,HS-grad,Never-married,Adm-clerical,White,Male,?
39,Masters,Never-married,Adm-clerical,White,Male,?
21,Some-college,Never-married,Adm-clerical,White,Male,?
25,Some-college,Never-married,Adm-clerical,White,Male,?
35,HS-grad,Divorced,Craft-repair,White,Male,?
38,HS-grad,Divorced,Craft-repair,White,Male,?
54,Some-college,Divorced,Craft-repair,White,Male,?
41,10th,Married-civ-spouse,Craft-repair,White,Male,?
56,10th,Married-civ-spouse,Craft-repair,White,Male,?
43,10th,Married-civ-spouse,Craft-repair,White,Male,?
45,11th,Married-civ-spouse,Craft-repair,White,Male,?
46,12th,Married-civ-spouse,Craft-repair,White,Male,?
46,12th,Married-civ-spouse,Craft-repair,White,Male,?
45,5th-6th,Married-civ-spouse,Craft-repair,White,Male,?
47,7th-8th,Married-civ-spouse,Craft-repair,White,Male,?
50,7th-8th,Married-civ-spouse,Craft-repair,White,Male,?
41,7th-8th,Married-civ-spouse,Craft-repair,White,Male,?
38,Assoc-voc,Married-civ-spouse,Craft-repair,White,Male,?
47,Assoc-voc,Married-civ-spouse,Craft-repair,White,Male,?
63,Bachelors,Married-civ-spouse,Craft-repair,White,Male,?
50,Bachelors,Married-civ-spouse,Craft-repair,White,Male,?
50,HS-grad,Married-civ-spouse,Craft-repair,White,Male,?
52,HS-grad,Married-civ-spouse,Craft-repair,White,Male,?
34,HS-grad,Married-civ-spouse,Craft-repair,White,Male,?
37,HS-grad,Married-civ-spouse,Craft-repair,White,Male,?
59,HS-grad,Married-civ-spouse,Craft-repair,White,Male,?
42,HS-grad,Married-civ-spouse,Craft-repair,White,Male,?
27,HS-grad,Married-civ-spouse,Craft-repair,White,Male,?
61,Masters,Married-civ-spouse,Craft-repair,White,Male,?
43,Some-college,Married-civ-spouse,Craft-repair,White,Male,?
33,Some-college,Married-civ-spouse,Craft-repair,White,Male,?
47,Some-college,Married-civ-spouse,Craft-repair,White,Male,?
53,Some-college,Married-civ-spouse,Craft-repair,White,Male,?
40,Some-college,Married-civ-spouse,Craft-repair,White,Male,?
36,Some-college,Married-civ-spouse,Craft-repair,White,Male,?
27,Some-college,Married-civ-spouse,Craft-repair,White,Male,?
37,Some-college,Married-civ-spouse,Craft-repair,White,Male,?
45,Some-college,Married-civ-spouse,Craft-repair,White,Male,?
47,Some-college,Married-civ-spouse,Craft-repair,White,Male,?
39,Bachelors,Married-spouse-absent,Craft-repair,White,Male,?
33,Some-college,Married-spouse-absent,Craft-repair,White,Male,?
30,Some-college,Married-spouse-absent,Craft-repair,White,Male,?
28,11th,Never-married,Craft-repair,White,Male,?
27,5th-6th,Never-married,Craft-repair,White,Male,?
28,9th,Never-married,Craft-repair,White,Male,?
24,HS-grad,Never-married,Craft-repair,White,Male,?
30,HS-grad,Never-married,Craft-repair,White,Male,?
21,HS-grad,Never-married,Craft-repair,White,Male,?
41,Some-college,Never-married,Craft-repair,White,Male,?
34,9th,Separated,Craft-repair,White,Male,?
55,Bachelors,Separated,Craft-repair,White,Male,?
74,9th,Widowed,Craft-repair,White,Male,?
52,Bachelors,Divorced,Exec-managerial,White,Male,?
65,11th,Married-civ-spouse,Exec-managerial,White,Male,?
45,7th-8th,Married-civ-spouse,Exec-managerial,White,Male,?
66,9th,Married-civ-spouse,Exec-managerial,White,Male,?
34,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,?
45,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,?
41,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,?
41,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,?
51,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,?
31,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,?
38,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,?
34,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,?
52,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,?
45,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,?
34,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,?
41,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,?
57,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,?
50,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,?
38,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,?
54,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,?
66,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,?
42,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,?
42,Doctorate,Married-civ-spouse,Exec-managerial,White,Male,?
36,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,?
43,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,?
56,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,?
30,Masters,Married-civ-spouse,Exec-managerial,White,Male,?
51,Masters,Married-civ-spouse,Exec-managerial,White,Male,?
46,Masters,Married-civ-spouse,Exec-managerial,White,Male,?
55,Prof-school,Married-civ-spouse,Exec-managerial,White,Male,?
34,Prof-school,Married-civ-spouse,Exec-managerial,White,Male,?
52,Some-college,Married-civ-spouse,Exec-managerial,White,Male,?
49,Some-college,Married-civ-spouse,Exec-managerial,White,Male,?
26,Bachelors,Never-married,Exec-managerial,White,Male,?
36,Bachelors,Never-married,Exec-managerial,White,Male,?
23,Bachelors,Never-married,Exec-managerial,White,Male,?
37,HS-grad,Never-married,Exec-managerial,White,Male,?
29,Masters,Never-married,Exec-managerial,White,Male,?
30,Prof-school,Never-married,Exec-managerial,White,Male,?
23,Some-college,Never-married,Exec-managerial,White,Male,?
56,1st-4th,Separated,Exec-managerial,White,Male,?
32,HS-grad,Separated,Exec-managerial,White,Male,?
34,10th,Never-married,Farming-fishing,White,Male,?
27,7th-8th,Never-married,Farming-fishing,White,Male,?
25,HS-grad,Never-married,Farming-fishing,White,Male,?
29,HS-grad,Never-married,Farming-fishing,White,Male,?
51,HS-grad,Never-married,Farming-fishing,White,Male,?
50,5th-6th,Married-civ-spouse,Handlers-cleaners,White,Male,?
47,HS-grad,Married-civ-spouse,Handlers-cleaners,White,Male,?
41,HS-grad,Married-civ-spouse,Handlers-cleaners,White,Male,?
33,Some-college,Married-civ-spouse,Handlers-cleaners,White,Male,?
29,Some-college,Married-civ-spouse,Handlers-cleaners,White,Male,?
17,11th,Never-married,Handlers-cleaners,White,Male,?
22,Assoc-acdm,Never-married,Handlers-cleaners,White,Male,?
28,HS-grad,Never-married,Handlers-cleaners,White,Male,?
39,HS-grad,Widowed,Handlers-cleaners,White,Male,?
46,Bachelors,Divorced,Machine-op-inspct,White,Male,?
38,HS-grad,Divorced,Machine-op-inspct,White,Male,?
29,5th-6th,Married-civ-spouse,Machine-op-inspct,White,Male,?
45,5th-6th,Married-civ-spouse,Machine-op-inspct,White,Male,?
35,7th-8th,Married-civ-spouse,Machine-op-inspct,White,Male,?
60,Assoc-voc,Married-civ-spouse,Machine-op-inspct,White,Male,?
46,Bachelors,Married-civ-spouse,Machine-op-inspct,White,Male,?
31,Bachelors,Married-civ-spouse,Machine-op-inspct,White,Male,?
22,Bachelors,Married-civ-spouse,Machine-op-inspct,White,Male,?
39,Bachelors,Married-civ-spouse,Machine-op-inspct,White,Male,?
41,Bachelors,Married-civ-spouse,Machine-op-inspct,White,Male,?
38,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,?
59,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,?
43,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,?
44,Prof-school,Married-civ-spouse,Machine-op-inspct,White,Male,?
72,HS-grad,Married-spouse-absent,Machine-op-inspct,White,Male,?
21,Some-college,Never-married,Machine-op-inspct,White,Male,?
21,Some-college,Never-married,Machine-op-inspct,White,Male,?
45,Bachelors,Divorced,Other-service,White,Male,?
55,HS-grad,Divorced,Other-service,White,Male,?
23,10th,Married-civ-spouse,Other-service,White,Male,?
40,12th,Married-civ-spouse,Other-service,White,Male,?
